sa2_name_2011,Etimated Residue in tonnes,Number of agricultural businesses,Estimated total production in tonnes,REGION,CROP_TYPE,BIOMASS_DESCRIPTION,TIMEFRAME,SEASONALITY,TOTAL_RESIDUES,RESIDUE_TYPE,RESIDUE_UNIT
Lesmurdie - Bickley - Carmel,1.8,7.7,12.3,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,1.8,Wet Weight Avocado Residue,Tonnes
Baldivis,3.1,1.1,20.8,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,3.1,Wet Weight Avocado Residue,Tonnes
Augusta,4.5,4.6,30.1,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,4.5,Wet Weight Avocado Residue,Tonnes
Albany Region,7.1,1.2,47.1,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,7.1,Wet Weight Avocado Residue,Tonnes
McKail - Willyung,7.1,1.2,47.2,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,7.1,Wet Weight Avocado Residue,Tonnes
Harvey,7.6,2.3,50.5,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,7.6,Wet Weight Avocado Residue,Tonnes
Capel,7.8,2.2,52,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,7.8,Wet Weight Avocado Residue,Tonnes
Denmark,10.7,1.2,71.1,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,10.7,Wet Weight Avocado Residue,Tonnes
Roleystone,12.5,5.3,83.1,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,12.5,Wet Weight Avocado Residue,Tonnes
Gingin - Dandaragan,19.3,4.8,128.4,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,19.3,Wet Weight Avocado Residue,Tonnes
Donnybrook - Balingup,26.6,2.4,177.2,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,26.6,Wet Weight Avocado Residue,Tonnes
Chittering,29.3,1,195,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,29.3,Wet Weight Avocado Residue,Tonnes
Gelorup - Dalyellup - Stratham,33.2,1.2,221.2,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,33.2,Wet Weight Avocado Residue,Tonnes
Yanchep,112.3,6.9,748.9,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,112.3,Wet Weight Avocado Residue,Tonnes
Manjimup,320.2,23.4,2134.6,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,320.2,Wet Weight Avocado Residue,Tonnes
Busselton Region,960.3,5.7,6402,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,960.3,Wet Weight Avocado Residue,Tonnes
Pemberton,2128.2,31.3,14187.9,SA2,Avocado,Avocado Residue,ABARES 2016 SA2 data,,2128.2,Wet Weight Avocado Residue,Tonnes
